,titulo,data,empresa,localizacao,descricao
0,Desenvolvedor iOS (Remoto),23/05/2020,RecrutaSimples,"São Paulo, State of São Paulo, Brazil","
        Tem experiência com Swift e gostaria de trabalhar da sua casa construindo sistemas que serão usados por milhões de pessoas em uma empresa que valoriza e dá autonomia aos profissionais?  Você poderá trabalhar de qualquer lugar do Brasil, em regime 100% remoto CLT. A empresa é uma consultoria que existe há 7 anos e foca apenas em projetos de longa duração que tragam impacto positivo para a sociedade e que ajudem os desenvolvedores a evoluir. Além disso, acredita em desenvolvimento ágil, DevOps e trabalho remoto e repudia o body shop - você não está condicionado ao projeto em que iniciará nem se o cliente manterá o projeto ou não. Algumas práticas do dia a dia mostram que você realmente é parte da empresa, como por exemplo os projetos possuírem code review de pessoas externas àquela conta.  Nessa vaga especificamente você irá trabalhar numa equipe que atende uma startup no setor financeiro sediada no Jardins em São Paulo, implementando diversas funcionalidades no principal aplicativo...
    "
1,Desenvolvedor BackEnd Sênior (Remoto),22/05/2020,Infoprice,Remoto,"
         O ambiente é informal. Nível ""Vamos jogar um play para descontrair"". Somos um time jovem, cheio de energia e propósito. Aliás, propósito este, que não é pouca coisa: Queremos revolucionar as interações de consumo no varejo, inundando-o com tecnologias completamente disruptivas. Demos o pontapé inicial em 2013, hoje atuamos com grandes varejistas em nosso portfólio. Naturalmente precisamos trazer mais gente boa para nos ajudar a realizar e sonhar cada vez mais alto. 
  Buscamos uma pessoa para atuar como desenvolvedor sênior na área de tecnologia da InfoPrice. Hoje temos um sistema com Java 8 e Spring e diversos microsserviços distribuídos, monitorados e com deploy automatizados pelo time de DevOps. 
  Estamos construindo um novo produto, que tem como foco principal tomar decisões de preço para o varejo a partir de Big Data e modelos estatísticos construídos pelo time de Dados da InfoPrice. 
  O desenvolvedor sênior possui uma função essencial na construção dos produtos com o...
    "
2,DESENVOLVEDOR ANDROID SÊNIOR 🤖,22/05/2020,Meta,Remoto,"
          Nosso time está aumentando e estamos em busca de um DESENVOLVEDOR ANDROID SÊNIOR para atuação em um projeto de e-commerce de uma grande rede de lojas de departamento.  Para essa atuação, desejamos que o profissional tenha conhecimento em:    🔹 Java e Kotlin  🔹 SQLite e Git  🔹 Retrofit, RxJava, Injeção de Dependências (Dagger) , Realm, Espresso, Mockito;  🔹Construção de Layouts (ConstraintLayout, Relative Layout, Linear Layout etc)  📍 Atuação presencial no bairro Vila Olímpia em São Paulo (ou atuação REMOTA)   Para se candidatar, por favor, envie seu currículo para📧  monique.freitas@meta.com.br  com o nome da vaga no assunto do e-mail, na descrição do e-mail coloque sua pretensão salarial (CLT e/ou PJ)  💬 Quer tirar alguma dúvida, bater um papo ou indicar algum profissional para a vaga? Pode me chamar pelo LinkedIn em: www.linkedin.com/in/moniquesadosiuk  
    "
3,DESENVOLVEDOR iOS SÊNIOR 🍎,22/05/2020,Meta,Remoto,"
          Nosso time está aumentando e estamos em busca de um DESENVOLVEDOR iOS SÊNIOR para atuação em um projeto de e-commerce de uma grande rede de lojas de departamento.  Para essa atuação, desejamos que o profissional tenha conhecimento em:   🔸 Objective-C e Swift    🔸 Arquiteturas: MVVM, VIPER e MVP  🔸 Testes Unitários  🔸 Persistência de Dados: SQLite e CoreData  📍 Atuação presencial no bairro Vila Olímpia em São Paulo (ou atuação REMOTA)  Para se candidatar, por favor, envie seu currículo para📧  monique.freitas@meta.com.br  com o nome da vaga no assunto do e-mail, na descrição do e-mail coloque sua pretensão salarial (CLT e/ou PJ)  💬 Quer tirar alguma dúvida, bater um papo ou indicar algum profissional para a vaga? Pode me chamar pelo LinkedIn em: www.linkedin.com/in/moniquesadosiuk  
    "
4,Desenvolvedor Pleno,22/05/2020,RecrutaSimples,"Rio de Janeiro, State of Rio de Janeiro, Brazil","
        Oportunidade para atuar no Rio de Janeiro, no Desenvolvimento das demandas de On Going e projetos do cliente OI. Se você possui um perfil analítico, criativo, inovador e que goste de trabalhar em equipe, é você mesmo que estamos procurando :)   Benefícios: Vale Transporte, Vale Refeição, Assistência Médica, Assistência Odontológica, Seguro de Vida, Home Office, Tarde livre no seu aniversario, Horário flexível, auxilio creche   Requisitos Necessários:  Conhecimento na linguagem de programa JAVA - JEE; Conhecimento de banco de dados relacional; NOSQL; Oracle; MYSQL; FRAMEWORKS JAVASCRIPT; ANGULAR - VERSÃO A PARTIR DA 4.0 Banco de dados - NO SQL MONGODB ou similar  Metodologias Ágeis: SCRUM KANBAN  Ferramentas de integração contínuas: JENKINS DOCKER  Conhecimento em FRAMEWORK baseado em JAVASCRIPT, tais como NODE.JS;  Bons conhecimentos de SPRING e Desenvolvimento em aplicativos móveis será um diferencial.
    "
5,Desenvolvedor Fullstack Pleno,22/05/2020,RecrutaSimples,"Curitiba - State of Paraná, Brazil","
        Você será responsável por analisar e desenvolver melhorias em nossa plataforma web e mobile =)  Resumindo, sua missão no dia a dia é:     - Prototipar e desenvolver novas funcionalidades em ambiente web e mobile     - Corrigir pequenos bugs     - Desenvolver códigos limpos, de fácil entendimento e manutenção     - Ajudar na implantação de novos clientes extraindo e tratando informações dos mais diversos bancos de dados      - Estudar novas tecnologias     - Ser pró-ativo visando diminuir a demanda de suporte, seja em melhorias nos processos, software e/ou na vida do cliente     - Co-criar a melhor solução diante das dores e sintomas declarados pelo cliente   Benefícios: Vale Refeição, Vale Transporte, Assistência Médica, Assistência Odontológica, Seguro de Vida   Requisitos Necessários:      - Possuir experiência profissional de no mínimo 3 anos em programação web/mobile (não importa a linguagem)     - Possuir sólidos conhecimentos em SQL,  HTML, Javascript e CSS     - Gostar de...
    "
6,SysAdmin - Nível Pleno - Florianópolis/SC,22/05/2020,HrSoul Hunting Relationship,"Florianópolis, State of Santa Catarina, Brazil","
          - Sólida experiência com servidores Linux (RHEL, CentOs), Cloud Microsoft Azure e bases de dados Microsoft Azure SQL Server, Microsoft SQL Server, MySQL Server; - Serviços Web (Tomcat, Apache), desempenho de aplicações e infraestrutura em ambientes de produção críticos;  - Elaboração da documentação técnica dos projetos desenvolvidos em escala global; - Desejáveis conhecimentos em ferramentas de automação (Ansible, Chef, Puppet);  - Certificações serão consideradas diferenciais (MCSE Cloud Platform ou MCSE Cloud Productivity); - Graduação em TI ou áreas relacionadas e Inglês Intermediário (imprescindível); - Imprescindível residir em Florianópolis ou região.   
    "
7,Desenvolvedor Front-end,22/05/2020,MadeinWeb e Mobile,"São Paulo, State of São Paulo, Brazil","
         Conhecimentos:  CSS, Java Script,  git/github/gitflow, consumo de APIs.  
 Diferencial:  React.  
  
 Local: Paulista - SP 
 Interessados encaminhar currículo com pretensão salarial CLT e PJ. 
    "
8,ANALISTA DE BANCO DE DADOS – CIÊNCIA DE DADOS,22/05/2020,HST CARD TECHNOLOGY,Campinas,"
         A  HST Card Technology  – Desenvolvimento de Sistemas Ltda é uma empresa de TI com mais de 33 anos de mercado, especializada em software para meios de pagamento. Nossas soluções estão presentes em instituições financeiras e varejistas por toda a América Latina. 
  Se você é uma pessoa proativa, responsável, comprometida, que busca sempre se atualizar e gosta de trabalhar em equipe. Venha fazer parte do nosso time!  
   
  Seus desafios serão:  
  Trabalhar com análise de banco de dados on-premisse e na Cloud; 
 Propor novas soluções que virem Projetos na Área de Negócios - Modelos de predição; 
 Desenvolver novas técnicas de segmentação e de modelagem preditiva, procurando sempre renovar as técnicas utilizadas; 
 Desenvolver modelos estatísticos preditivos (criação, análise e manutenção de modelos); 
 Realizar testes de eficácias dos modelos criados; 
 Ser inovador em modelos de levantamento e enriquecimento de dados. 
    
  Para participar, esperamos que você tenha:  
  Formação...
    "
9,Designer UX/UI - Estágio e/ou Junior,21/05/2020,RedFox Soluções Digitais,São Paulo,"
          Quer trabalhar com desenvolvimento em uma equipe jovem e empreendedora? Então venha fazer parte desse hub de inovação & tecnologia. Somos o 1o Hub de Venture Innovation do Brasil!  
  Requisitos & Conhecimentos     
 - Morar em São Paulo Capital ou ter disponibilidade para trabalhar na capital; 
 - Adobe Illustrator; 
 - Adobe Photoshop; 
 - Conhecimento preliminar em UX/UI; 
 - Figma e Invision e apps de mockups; 
   
  Desejável  
 - Graduado ou estar cursando gradução em Design Gráfico, Publicidade ou semelhantes; 
 - Ter experiência preliminar no desenvolvimento de algum projeto de tecnologia ou estágio anterior; 
 - Ter excelente raciocínio lógico, ser auto-didata, programar rápido e aprender mais rápido ainda; 
 - Saber gerir seu tempo e cumprir prazos; 
 - Ter paixão por novas tecnologias e desenvolvimento de ferramentas fantásticas utilizando tecnologias modernas; 
   
   
   
    "
10,ANALISTA DE SUPORTE DE SISTEMAS PL,21/05/2020,EMPREGARE.com,"Brasilia - Federal District, Brazil","
          Horário: 09:00 AS 18:00    Contratação: Efetivo – CLT    Nível: Profissional    Descrição:   Administração e suporte a Sistema Operacional Windows; Administração e suporte Office 365.   Requisitos:   Domínio das plataformas Windows Server 2012 e superior; domínio das ferramentas Office 365 Mensageria;     Outras certificações, habilidades e/ou conhecimentos recomendáveis/desejáveis para o cargo:Certificação Office 365 (MS-200 e/ou MS-201)   Benefícios: Assistência médica, Day Off, Seguro de Vida, Transporte, Vale-alimentação, Vale-transporte  
    "
11,Analista de Infraestrutura,21/05/2020,Instruct,"Remoto (São Paulo, State of São Paulo, Brazil)","
         Analista de Infraestrutura 
 Estamos buscando profissional que consiga trabalhar em um time multidisciplinar, que tenha conhecimentos básicos de programação e experiência em administração de sistemas. 
 Uma de suas maiores responsabilidades será analisar e compreender o funcionamento de aplicações de nossos clientes e determinar as melhores estratégias para codificar e entregar a instalação e configuração automatizada. 
 Precisamos que você tenha conhecimento sólido em infraestrutura como sistemas operacionais, serviços de rede, TCP/IP, roteamento, storage, etc. 
 Conhecer ao menos um gerenciador de configuração como Puppet ou Ansible e tecnologias relacionadas a containers serão um grande diferencial. 
 Gostar de programar e conhecer alguma linguagem de programação também será um diferencial. 
 É fundamental que você goste de compartilhar o seu conhecimento com outras pessoas. Ser curioso e autodidata são características bem vindas. 
 O trabalho é realizado totalmente remoto e...
    "
12,Python Backend Developer,21/05/2020,Instruct,"Remoto (São Paulo, State of São Paulo, Brazil)","
         Python Backend Developer 
 Estamos buscando profissional que consiga trabalhar em um time multidisciplinar, que tenha sólidos conhecimentos de programação e bons fundamentos de sistemas operacionais e redes. 
 Você fará parte de uma equipe que desenvolve soluções de automação de alto impacto na operação de TI de nossos clientes. 
  Precisamos que você domine Python para desenvolvimento de backend em sistemas web e integração com APIs de formatos diversos.  
 É necessário ter experiência com testes automatizados, fundamentos em análise de algoritmos e análise de performance de aplicações, bem como boa capacidade analítica para depurar sistemas complexos. 
 Ter experiência em sistemas com middleware orientado a mensagem e GraphQL são diferenciais. 
 É fundamental que você goste de compartilhar o seu conhecimento com outras pessoas. Ser curioso e autodidata são características bem vindas. 
 O trabalho poderá ser realizado totalmente remoto, dentro de horário comercial e seguindo o...
    "
13,Analista de Banco de Dados,21/05/2020,Tivia TI,"São Paulo, State of São Paulo, Brazil","
         Atuação em projetos de Banco de Dados, alocado em cliente, com experiência plena em BD SQL Server e ferramentas de ETL - SSIS. 
 Boa experiência em Banco de dados SQL Server (2008 ou superior); 
  Boa experiência com ETL – SSIS, imprescindível;  
 Preferência por profissionais mais maduros; 
 Bons conhecimentos de modelagem de dados (entidade/relacionamento); 
 Conhecimento em Power BI. 
  03 vagas 
 Local: Cliente – São Paulo e co working e/ou home office 
 Remuneração: R$ 6000,00 + Programa de incentivo (aproximadamente R$ 3.000,00 a cada 3 meses). VR R$ 42,50 por dia, VA R$ 350,00, Assistência Médica e Odontológica. 
 Contrato: CLT 
    "
14,DBA,21/05/2020,Tivia TI,"Jundiaí, State of São Paulo, Brazil","
         Para atuar no suporte 
 Bons conhecimentos da arquitetura SQL Server e principais componentes(Query Processor, Storage Engine e SQLOS); 
 Conhecimento da estrutura de dados do SQL Server (Estrutura de alocação e acesso de páginas, tabelas, indexação, estatísticas); 
 Experiência com a interpretação e análise de Planos de execução e seus principais operadores; 
 Conhecimento das estruturas de bloqueio e concorrência de transação; 
 Vivência com análise e resolução de cenários de deadlock; 
 Conhecimento da ferramenta Perfmon e seus principais contadores para troubleshooting de performance; 
 Disponibilidade para Viagens. 
 1 vaga 
 Local: Jundiaí  
 Remuneração: CLT ou PJ 
    "
15,FullStack Pleno,21/05/2020,Tivia TI,"São Paulo, State of São Paulo, Brazil","
          .NET Full Stack deve ter total capacidade de realizar manutenção dos sistemas ativos, criação de novas rotinas, serviços e integrações, análise e desenvolvimento de novas rotinas e levantamento de necessidades junto aos usuários. Atuará tanto no front end quanto back end, criação de serviços, webservice e outros. 
 Espera-se ainda total habilidade para uso e API´s / SDK´s de parceiros. 
 Nosso ambiente é dinâmico, desafiador, com um grande espaço para o desenvolvimento completo de nossos colaboradores, que contarão com todo o apoio e suporte de um time que está em contínuo crescimento. 
 - Formação em ensino superior ( Análise de Sistemas, Ciências da Computação, Engenharia da Computação ou similiar ) 
 - Inglês Intermediário; 
 - Habilidades interpessoais de escrita e de comunicação verbal; 
 - Conhecimento em metodologias ágeis (Scrum/Kanban); 
 - Experiência prévia nas linguagens informadas; 
 Asp.Net C# (WebForms, MVC, Entity Framework, LINQ, ) 
 JavaScript 
 JQuery 
 HTML 5...
    "
16,PROGRAMADOR SÊNIOR III (Programador Sênior Angular/ Ionic),21/05/2020,Tivia TI,"Jaguare, São Paulo - State of São Paulo, Brazil","
         Conhecimentos sólidos e imprescindíveis em Angular > 4 e Ionic > 3; 
 Atuar com desenvolvimento de interface WEB responsiva consumindo API Rest a partir de protótipos XD / Marvel / Invision e/ou Layouts PSD/ AI. 
 Diferencial: Ter conhecimento em C#, .NET Core e Node com foco em WEB API. 
   
 Horário 
 De segunda a sexta das 10h às 19h (com 1h de almoço) e sábados das 10h às 14h 
   
    "
17,Java Developer Junior/Pleno/Sênior,21/05/2020,Tivia TI,Munique/Alemanha/Holanda,"
         Desenvolvedores Java Tarefas: • Desenvolvimento com modernas estruturas de código aberto, ferramentas e paradigmas como J2E, microsserviços, Docker, SQL, Kubernetes • Design e implementação de recursos inovadores em cooperação com proprietários de produtos, analistas de negócios e outras partes interessadas • Definição e execução de casos de teste como parte de uma equipe ágil • Criação de protótipos e suporte na concepção técnica de aplicações • Comunicação ativa nas revisões e refinamentos da Sprint com o cliente Com treinamentos, workshops e grupos de usuários, você mantém seu conhecimento atualizado  Habilidades: • Estudos concluídos com sucesso em informática (comercial), matemática, física ou qualificação similar • Mais de 2 anos de experiência na configuração de projetos ágeis Scrum ou Kanban • Experiência comprovada em J2E (Kubernetes é um plus) e conceitos básicos de rede, bem como o interesse em aprender constantemente novas linguagens e estruturas • Disposto a trabalhar...
    "
18,Full Stack Developer,21/05/2020,Tivia TI,"Rio de Janeiro, State of Rio de Janeiro, Brazil","
           Posição   
  Full Stack Developer  
  Desenvolvedor Full Stack  
   
   Sobre a IMExperts   
  Somos experts em soluções inteligentes de Information Management, usamos tecnologias avançadas de  Big Data  e  Inteligência Artificial , e uma das equipes de serviços profissionais mais qualificadas e experientes da América Latina para oferecer soluções de alto valor agregado para o negócio de nossos clientes.  
     Temos 10 anos de Experiência na implementação de Soluções de TI no mercado Brasileiro e latino- americano, fornecemos soluções de software e serviços da mais alta qualidade para as maiores organizações do Brasil.  
   
   Descrição da Vaga   
       
  A Vaga de Estágio Full Stack Developer (Desenvolvedor Full Stack) deve ser preenchida por um profissional da área de TI formado em curso de ciência da computação, com experiencia no desenvolvimento de aplicações Full-Stack, e que deseje participar em projetos reais nas maiores empresas do Brasil.  
     
  Para que consiga...
    "
19,Big Data Junior Consultant,21/05/2020,Tivia TI,"São Paulo, Brazil","
         Carga Horária ✓ Tempo Integral. 168h/ mês – horário comercial.  Local de trabalho ✓ São Paulo, SP.  Requisitos  Formação Profissional ✓ Formação profissional em Ciências da Computação ou áreas afins. Formação concluída.  Experiência ✓ 3 anos atuando no mercado de TI. ✓ Ter no mínimo 1 ano de experiencia em projetos trabalhando como DBA júnior ou atividades ligadas à Bancos de Dados. ✓ Ter participado em projetos de BI (desejável)  Habilidades  Tecnologia ✓ Possuir conhecimento em arquiteturas e tecnologias, ter certificação ou comprovar experiência de ter participado em projetos com as seguintes tecnologias: o Bancos de dados (obrigatório) o BI (desejável) o ETL (desejável) o Data warehouse (desejável) o Hadoop (desejável) o Spark (desejável)   ✓ Ter conhecimento de infraestrutura básica para instalação de soluções de Big Data incluindo. o SO. Linux (obrigatório) o Redes LAN / WAN (obrigatório)   o Virtualização (desejável)   ✓ Ter certificação ou comprovar experiencia na...
    "
20,Designer UI - Estágio e/ou Junior,21/05/2020,RedFox Soluções Digitais,São Paulo,"
          Quer trabalhar com desenvolvimento em uma equipe jovem e empreendedora? Então venha fazer parte desse hub de inovação & tecnologia. Somos o 1o Hub de Venture Innovation do Brasil!  
  Requisitos & Conhecimentos     
 - Morar em São Paulo Capital ou ter disponibilidade para trabalhar na capital; 
 - Adobe Illustrator; 
 - Adobe Photoshop; 
 - Conhecimento preliminar em UX/UI; 
 - Figma e Invision e apps de mockups; 
   
  Desejável  
 - Graduado ou estar cursando gradução em Design Gráfico, Publicidade ou semelhantes; 
 - Ter experiência preliminar no desenvolvimento de algum projeto de tecnologia ou estágio anterior; 
 - Ter excelente raciocínio lógico, ser auto-didata, programar rápido e aprender mais rápido ainda; 
 - Saber gerir seu tempo e cumprir prazos; 
 - Ter paixão por novas tecnologias e desenvolvimento de ferramentas fantásticas utilizando tecnologias modernas; 
  
 *** Enviar portfólio em anexo  
   
   
    "
21,Desenvolvedor Mobile,21/05/2020,RedFox Soluções Digitais,"São Paulo - State of São Paulo, Brazil","
          Buscamos desenvolvedores mobile para fazer parte do nosso time e construir com a gente novos produtos digitais. Aqui na RedFox a equipe é multidisciplinar e horizontal, não existe divisão entre frontend, backend e mobile, você pode escolher trabalhar focado em um ou todos, de acordo com seus conhecimentos, gostos, aptidões e objetivos, isso significa que damos espaço para aprendizado e vamos tirar você da zona de conforto, então se prepare, nós vamos te desafiar a entregar qualidade.  
  Requisitos  
   Para Android: Java/Kotlin e Android Studio;  
  Para iOS: Swift  
  Git  
  Experiência em publicação de apps nas lojas (Google Play e Apple Store)  
  Consumo de APIs REST  
  Autogestão e colaboração em equipe  
  Gostar de aprender, inovar e entregar qualidade  
  Experiência preliminar em desenvolvimento de projetos de tecnologia  
  Morar em São Paulo Capital ou ter disponibilidade para trabalhar na capital;  
   Diferenciais  
   Styled Components  
  Firebase...
    "
22,Desenvolvedor web,21/05/2020,RedFox Soluções Digitais,São Paulo,"
          Buscamos desenvolvedores web para fazer parte do nosso time e construir com a gente novos produtos digitais. Aqui na RedFox a equipe é multidisciplinar e horizontal, não existe divisão entre frontend, backend e mobile, você pode escolher trabalhar focado em um ou todos, de acordo com seus conhecimentos, gostos, aptidões e objetivos, isso significa que damos espaço para aprendizado e vamos tirar você da zona de conforto, então se prepare, nós vamos te desafiar a entregar qualidade.  
  Requisitos gerais da nossa stack:  
    
  Frontend (Vue.js ou React.js) 
    Framework de UI (ex: Semantic UI, Bootstrap, , Vuetify, etc ...)  
    Node.js  
    MySQL  
    TDD (Jest, Chai, Mocha)  
    MongoDB  
    Git  
    Linux  
    Diagramas UML  
    Consumo e desenvolvimento de APIs REST  
    Autogestão e colaboração em equipe  
    Gostar de aprender, inovar e entregar qualidade  
   
  Diferenciais  
   Arquitetura de aplicações  
  Modelagem de dados  
  Documentação técnica e teórica...
    "
23,Desenvolvedor React Native,21/05/2020,RedFox Soluções Digitais,"São Paulo, State of São Paulo, Brazil","
          Buscamos desenvolvedores mobile para fazer parte do nosso time e construir com a gente novos produtos digitais. Aqui na RedFox a equipe é multidisciplinar e horizontal, não existe divisão entre frontend, backend e mobile, você pode escolher trabalhar focado em um ou todos, de acordo com seus conhecimentos, gostos, aptidões e objetivos, isso significa que damos espaço para aprendizado e vamos tirar você da zona de conforto, então se prepare, nós vamos te desafiar a entregar qualidade.  
  Requisitos  
   Javascript  
  React.js  
  React Native  
  Redux  
  Git  
  Consumo de APIs REST  
  Experiência em lançamento de apps nas lojas (Google Play e Apple Store)  
  Autogestão e colaboração em equipe  
  Gostar de aprender, inovar e entregar qualidade  
  Experiência preliminar em desenvolvimento de projetos de tecnologia  
   Diferenciais  
   Java ou Kotlin  
  Swift  
  Flutter  
  Desenvolvimento de APIs REST  
  Styled Components  
  RxJs  
  TypeScript  
  Docker  
  Modelagem...
    "
24,Analista de Firmware I B,20/05/2020,RecrutaSimples,"Nova Odessa, State of São Paulo, 13460-000, Brazil","
        Desenvolvimento de projetos em sistemas embarcados; Experiência com controladores lógicos programáveis e redes industriais; Capacidade de interpretar esquemáticos eletrônicos; Programação de Microcontroladores; Elaboração e atualização de relatórios técnicos;   Benefícios: Vale Transporte, Vale Refeição, Assistência Médica, Assistência Odontológica, Seguro de Vida   Requisitos Necessários:  Atuação na área de firmware. Conhecimento em programação para sistemas embarcados utilizando linguagem C/ Realização de testes unitários nas linguagens C e
    "
25,Analista Inteligência Dados Sr,20/05/2020,RecrutaSimples,"Piracicaba - State of São Paulo, Brazil","
        Estamos buscando um(a) Analista Inteligência Dados Sr, para atuar no atendimento da nossa diretoria de EAB, sendo responsável por levantar e estruturar as necessidades de negócio, compondo nosso time de Analytics em Piracicaba-SP.  Responsabilidades:  Atendimento da nossa diretoria de EAB; Levantar e estruturar as necessidades de negócio, conectando com as melhores práticas de Analytics; Análises completas do ciclo de vida incluindo requisitos, atividades e design de relatórios e outputs dos modelos desenvolvidos; Identificar, analisar e interpretar tendências ou padrões em conjuntos de dados complexos, com o intuito de traduzir as necessidades de cada negócio propondo soluções junto ao time de Analytics.   Benefícios: a combinar   Requisitos Necessários:  Comunicação; Iniciativa; Relacionamento Interpessoal; Visão crítica e voltada para melhorias de processo/otimizações; Ser apaixonado por pessoas e se identificar com ambiente em transformação e dinâmico!.
    "
26,DESENVOLVEDOR JAVA SÊNIOR,20/05/2020,Meta,Remoto (Brazil),"
          Nosso time está aumentando e estamos em busca de um DESENVOLVEDOR JAVA SÊNIOR para atuação em um projeto de e-commerce de uma grande rede de lojas de departamento.  Para essa atuação, desejamos que o profissional tenha conhecimento em:   🔸Desenvolvimento Java SpringBoot;   🔸 Desenvolvimento de SOA, usando Oracle Service Bus 11g e 12c;   🔸 Sistemas EJB3;   🔸 Treinamento de qualificação interna para iOS Swift 3    📍 Atuação presencial no bairro Vila Olímpia em São Paulo (ou atuação REMOTA)  Para se candidatar, por favor, envie seu currículo para📧  monique.freitas@meta.com.br  com o nome da vaga no assunto do e-mail, na descrição do e-mail coloque sua pretensão salarial (CLT e/ou PJ)   💬 Quer tirar alguma dúvida, bater um papo ou indicar algum profissional para a vaga? Pode me chamar pelo LinkedIn em: www.linkedin.com/in/moniquesadosiuk         Desenvolvedor Java SpringBoot Desenvolvedor de SOA, usando Oracle Service Bus 11g e 12c Desenvolvedor Java, desenvolvendo, dando suporte e...
    "
27,ANALISTA QA - AUTOMAÇÃO,20/05/2020,Meta,Remoto (Brazil),"
          Nosso time está aumentando e estamos em busca de um ANALISTA QA - AUTOMAÇÃO para atuação em um projeto de e-commerce de uma grande rede de lojas de departamento.  Para essa atuação, desejamos que o profissional tenha conhecimento em:   🔸 A utomação de testes;  🔸 Criação e implementação de casos de testes automatizados;   🔸  Criação, implementação, organização e análise de casos de teste manuais dentro de metodologias ágeis como Scrum;  🔸  Manutenção, gerenciamento e aprimoramento de dados dentro de diferentes DBMS (PostgreSQL e Firebird).  🔸  Ferramentas: Microsoft Test Manager, TestComplete, DataGrip, Selenium, Android Studio, IBExpert, Microsoft Azure, Microsoft SQL e Orace VM VirtualBox. 
  📍 Atuação presencial no bairro Vila Olímpia em São Paulo (ou atuação 100% REMOTA)  Para se candidatar, por favor, envie seu currículo para📧  monique.freitas@meta.com.br  com o nome da vaga no assunto do e-mail, na descrição do e-mail coloque sua pretensão salarial (CLT e/ou PJ)   💬 Quer...
    "
28,Desenvolvedor iOS (Remoto),20/05/2020,Improving,Remoto,"
         Tem experiência com Swift e gostaria de trabalhar da sua casa construindo sistemas que serão usados por milhões de pessoas em uma empresa que valoriza e dá autonomia aos profissionais? 
 Você poderá trabalhar de qualquer lugar do Brasil, em    regime 100% remoto CLT . A empresa é uma consultoria que existe há 6 anos e foca apenas em projetos de longa duração que tragam impacto positivo para a sociedade e que ajudem os desenvolvedores a evoluir. Além disso, acredita em desenvolvimento ágil, DevOps e trabalho remoto e repudia o body shop - você não está condicionado ao projeto em que iniciará nem se o cliente manterá o projeto ou não. Algumas práticas do dia a dia mostram que você realmente é parte da empresa, como por exemplo os projetos possuírem code review de pessoas externas àquela conta. 
 Nessa vaga especificamente você irá trabalhar numa equipe que desenvolve soluções tecnológicas para encontrar e selecionar os melhores talentos para as empresas e promove o desenvolvimento...
    "
29,DESENVOLVEDOR JAVA/JAVASCRIPT SÊNIOR,20/05/2020,Meta,"São Leopoldo, RS, Brazil","
          Nosso time está aumentando e estamos em busca de um DESENVOLVEDOR JAVA/JAVASCRIPT SÊNIOR para atuação em um projeto internacional.  Para essa atuação, desejamos que o profissional tenha:   🔸 Graduação em TI;   🔸 Fluência em inglês;   🔸 Habilidades avançadas de programação em Java e JavaScript; 🔸  Implementação demonstrada de microsserviços, contêiner e desenvolvimento de aplicativos nativos da nuvem;  🔸 Entendimento dos princípios de DevOps;   🔸 Será um diferencial: experiência com Docker, Kubernetes e React  📍 Atuação presencial em São Leopoldo (durante a pandemia, atuação será remota)  Para se candidatar, por favor, envie seu currículo para📧  monique.freitas@meta.com.br  com o nome da vaga no assunto do e-mail, na descrição do e-mail coloque sua pretensão salarial (CLT e/ou PJ)   💬 Quer tirar alguma dúvida, bater um papo ou indicar algum profissional para a vaga? Pode me chamar pelo LinkedIn em: www.linkedin.com/in/moniquesadosiuk  
    "
30,UX/UI Designer - Pleno,19/05/2020,Working Minds Tecnologia,"Rio de Janeiro, Brazil","
         Aqui na WKM ajudamos empresas de diversos setores a conceber novas soluções, construir produtos que as pessoas adoram e a turbinar seus times para que produzam resultados incríveis! É o que sabemos e amamos fazer!  
 Com isso, temos frequentemente novas oportunidades para profissionais de tecnologia! Buscamos pessoas criativas e inovadoras, que queiram crescer junto conosco, na construção do futuro dos negócios digitais, no Brasil -- e no mundo!  
 Para esta oportunidade, buscamos um(a) UX/UI Designer, experiência comprovada, para atuar em um importante projeto aqui na cidade do Rio de Janeiro.  
   
   Pré-requisitos:   
  Experiência com o processo de design, desde pesquisa e estratégia de produto, ideação, layout, protótipos (baixa, média e alta fidelidade) 
 Conhecimento em criação de fluxos, user flow, mockups e wireframes 
 Experiência em design de mobile Experiência com design responsivo 
 Ferramenta de Prototipação (Adobe XD, Sketch, Figma ou similares) 
 Conhecimentos em...
    "
31,Analista de Testes Automatizados PL/SR,19/05/2020,EMPREGARE.com,"São Paulo, State of São Paulo, Brazil","
          Horário: De segunda a sexta, das 09:00 as 18:00    Contratação: Efetivo – CLT    Nível: Profissional    Descrição:   Participar de equipe de desenvolvimento Ágil na construção e correções de códigos Java integradas com a ferramenta de testes automatizados Selenium. Ter perfil de liderança técnica e conduzir esclarecimentos junto aos membros da equipe.   Requisitos:   Ferramentas e Linguagens: Java, Selenium, Cucumber, jUnit, TestNG, SQL, Extent Report, ferramentas de versionamento, gerenciadores de dependência (Gradle e Maven).
  Metodologias e Práticas de testes: Ciclo de vida dos testes, Black Box, White Box, Testes de Regressão, Integração de Testes, CI/CD (Jenkins, Azure DevOps)
     Ensino Superior Completo na área de TI.
  
 Oportunidade aberta para portadores de deficiência.    Benefícios: Assistência médica, Assistência odontológica, Auxílio creche, Day Off, Seguro de Vida, Vale-refeição, Vale-transporte  
    "
